ID,BuildingNames
1,BuildingName_02FCU503_ChwVlvPos
2,BuildingName_01FCU336_OccHtgSptFnl
3,BuildingName_02FCU510_EffOcc
4,BuildingName_02FCU507_UnoccHtgSpt
5,BuildingName_02FCU415_UnoccHtgSpt
6,BuildingName_01FCU203_OccClgSpt
7,BuildingName_02FCU521_UO11_HwVlvOut
8,BuildingName_01FCU365_UnoccHtgSptFnl
9,BuildingName_02FCU529_UnoccHtgSpt
10,BuildingName_01FCU243_EffOcc
11,BuildingName_01FCU362_ChwVlvPos
12,BuildingName_01FCU180B_UnoccClgSptFnl
13,BuildingName_02FCU539_UO12_ChwVlvOut
14,BuildingName_02FCU428_BO4_HighSpdFanOut
15,BuildingName_02FCU416_RoomTmp
16,BuildingName_02FCU415_UI17_Fan_Status
17,BuildingName_01FCU391_HwVlvPos
18,BuildingName_02FCU559_UnoccHtgSpt
19,BuildingName_01FCU262_UI22_SaTmp
20,BuildingName_02FCU448_UO11_HwVlvOut
21,BuildingName_01FCU369_OccClgSptFnl
22,BuildingName_01FCU255_UI22_SaTmp
23,BuildingName_02FCU543_UI22_SaTmp
24,BuildingName_01FCU376_UI22_SaTmp
25,BuildingName_01FCU241_EffSysMode
26,BuildingName_01FCU343_ChwVlvPos
27,BuildingName_01FCU313_BO4_HighSpdFanOut
28,BuildingName_02FCU549_EffOcc
29,BuildingName_01FCU242_UI17_Fan_Status
30,BuildingName_01FCU392_UnoccHtgSptFnl
31,BuildingName_01FCU323_OccHtgSptFnl
32,BuildingName_01FCU311_OccHtgSpt
33,BuildingName_01FCU216_EffOcc
34,BuildingName_01FCU331_SysMode
35,BuildingName_02FCU558_FanMode
36,BuildingName_01FCU227_BO4_HighSpdFanOut
37,BuildingName_01FCU285_OccClgSpt
38,BuildingName_01FCU391_FanMode
39,BuildingName_01FCU367_EffOcc
40,BuildingName_02FCU439_HwVlvPos
41,BuildingName_02FCU438_HwVlvPos
42,BuildingName_01FCU235_HwVlvPos
43,BuildingName_02FCU439_RoomTmp
44,BuildingName_01FCU205_UI17_Fan_Status
45,BuildingName_01FCU239_OccHtgSpt
46,BuildingName_02FCU538_EffOcc
47,BuildingName_02FCU479_UnoccHtgSpt
48,BuildingName_01FCU292_SysMode
49,BuildingName_02FCU555_UO12_ChwVlvOut
50,BuildingName_02FCU489_UnoccClgSpt
51,BuildingName_01FCU331_UO12_ChwVlvOut
52,BuildingName_01FCU301_ChwVlvPos
53,BuildingName_02FCU448_ChwVlvPos
54,BuildingName_02FCU460_OccHtgSpt
55,BuildingName_01FCU319_UnoccClgSptFnl
56,BuildingName_02FCU401_OccClgSpt
57,BuildingName_01FCU311_UnoccClgSpt
58,BuildingName_01FCU261_UnoccHtgSptFnl
59,BuildingName_01FCU273_UnoccClgSpt
60,BuildingName_02FCU531_BO4_HighSpdFanOut
61,BuildingName_02FCU416_FanMode
62,BuildingName_01FCU223_OccCmd
63,BuildingName_01FCU342_UnoccHtgSpt
64,BuildingName_02FCU485_UO11_HwVlvOut
65,BuildingName_01FCU201_OccHtgSpt
66,BuildingName_02FCU438_UO11_HwVlvOut
67,BuildingName_02FCU539_Room_RH
68,BuildingName_02FCU452_EffSysMode
69,BuildingName_01FCU205_UnoccHtgSptFnl
70,BuildingName_01FCU210_UnoccHtgSptFnl
71,BuildingName_02FCU444_HwVlvPos
72,BuildingName_01FCU240_OccCmd
73,BuildingName_01FCU215_OccCmd
74,BuildingName_01FCU373_UO11_HwVlvOut
75,BuildingName_01FCU273_UI22_SaTmp
76,BuildingName_01FCU352_OccHtgSptFnl
77,BuildingName_01FCU307_OccHtgSptFnl
78,BuildingName_02FCU430_RoomTmp
79,BuildingName_01FCU277_OccHtgSptFnl
80,BuildingName_01FCU364_UO11_HwVlvOut
81,BuildingName_01FCU213_UI17_Fan_Status
82,BuildingName_01FCU276_OccCmd
83,BuildingName_02FCU505_BO4_HighSpdFanOut
84,BuildingName_01FCU292_UnoccClgSpt
85,BuildingName_02FCU507_OccHtgSpt
86,BuildingName_02FCU563_BO4_HighSpdFanOut
87,BuildingName_02FCU481_UI17_Fan_Status
88,BuildingName_02FCU444_UO12_ChwVlvOut
89,BuildingName_02FCU555_UI17_Fan_Status
90,BuildingName_01FCU289_UnoccClgSptFnl
91,BuildingName_01FCU285_OccClgSptFnl
92,BuildingName_01FCU254_UI17_Fan_Status
93,BuildingName_01FCU255_UnoccHtgSpt
94,BuildingName_01FCU282_UnoccHtgSptFnl
95,BuildingName_02FCU503_OccClgSpt
96,BuildingName_02FCU525_UnoccHtgSpt
97,BuildingName_01FCU283_OccClgSpt
98,BuildingName_02FCU465_FanMode
99,BuildingName_02FCU530_ChwVlvPos
100,BuildingName_02FCU486_UI17_Fan_Status
101,BuildingName_01FCU225_UnoccHtgSpt
102,BuildingName_01FDU123_UnoccHtgSpt
