name,room,airsource,name-AirSourceSA-T,name-DA-T,name-DMPR-POS,name-FAN,name-FAN-STAT,name-FLOW,name-FLOW-STPT,name-HWV-SIG,name-OCC-STAT,name-RunHours,name-ZN-STPT-CL-EFF,name-ZN-STPT-CL-OCC,name-ZN-STPT-CL-UNOC,name-ZN-STPT-HT-EFF,name-ZN-STPT-HT-OCC,name-ZN-STPT-HT-UNOC,name-ZN-T,name-ZN-CO2,unit
VAV-1-01,LAB,AHU-1W,VAV-1-01_AirSourceSA-T,VAV-1-01_DA-T,VAV-1-01_DMPR-POS,VAV-1-01_FAN,VAV-1-01_FAN-STAT,VAV-1-01_FLOW,VAV-1-01_FLOW-STPT,VAV-1-01_HWV-SIG,VAV-1-01_OCC-STAT,VAV-1-01_RunHours,VAV-1-01_ZN-STPT-CL-EFF,VAV-1-01_ZN-STPT-CL-OCC,VAV-1-01_ZN-STPT-CL-UNOC,VAV-1-01_ZN-STPT-HT-EFF,VAV-1-01_ZN-STPT-HT-OCC,VAV-1-01_ZN-STPT-HT-UNOC,VAV-1-01_ZN-T,VAV-1-01_ZN-CO2,
VAV-1-02,LAB,AHU-2W,VAV-1-02_AirSourceSA-T,VAV-1-02_DA-T,VAV-1-02_DMPR-POS,VAV-1-02_FAN,VAV-1-02_FAN-STAT,VAV-1-02_FLOW,VAV-1-02_FLOW-STPT,VAV-1-02_HWV-SIG,VAV-1-02_OCC-STAT,VAV-1-02_RunHours,VAV-1-02_ZN-STPT-CL-EFF,VAV-1-02_ZN-STPT-CL-OCC,VAV-1-02_ZN-STPT-CL-UNOC,VAV-1-02_ZN-STPT-HT-EFF,VAV-1-02_ZN-STPT-HT-OCC,VAV-1-02_ZN-STPT-HT-UNOC,VAV-1-02_ZN-T,VAV-1-02_ZN-CO2,
VAV-1-03,LAB,AHU-1W,VAV-1-03_AirSourceSA-T,VAV-1-03_DA-T,VAV-1-03_DMPR-POS,VAV-1-03_FAN,VAV-1-03_FAN-STAT,VAV-1-03_FLOW,VAV-1-03_FLOW-STPT,VAV-1-03_HWV-SIG,VAV-1-03_OCC-STAT,VAV-1-03_RunHours,VAV-1-03_ZN-STPT-CL-EFF,VAV-1-03_ZN-STPT-CL-OCC,VAV-1-03_ZN-STPT-CL-UNOC,VAV-1-03_ZN-STPT-HT-EFF,VAV-1-03_ZN-STPT-HT-OCC,VAV-1-03_ZN-STPT-HT-UNOC,VAV-1-03_ZN-T,VAV-1-03_ZN-CO2,
VAV-1-04,LAB,AHU-2W,VAV-1-04_AirSourceSA-T,VAV-1-04_DA-T,VAV-1-04_DMPR-POS,VAV-1-04_FAN,VAV-1-04_FAN-STAT,VAV-1-04_FLOW,VAV-1-04_FLOW-STPT,VAV-1-04_HWV-SIG,VAV-1-04_OCC-STAT,VAV-1-04_RunHours,VAV-1-04_ZN-STPT-CL-EFF,VAV-1-04_ZN-STPT-CL-OCC,VAV-1-04_ZN-STPT-CL-UNOC,VAV-1-04_ZN-STPT-HT-EFF,VAV-1-04_ZN-STPT-HT-OCC,VAV-1-04_ZN-STPT-HT-UNOC,VAV-1-04_ZN-T,VAV-1-04_ZN-CO2,
VAV-1-05,LAB,AHU-1W,VAV-1-05_AirSourceSA-T,VAV-1-05_DA-T,VAV-1-05_DMPR-POS,VAV-1-05_FAN,VAV-1-05_FAN-STAT,VAV-1-05_FLOW,VAV-1-05_FLOW-STPT,VAV-1-05_HWV-SIG,VAV-1-05_OCC-STAT,VAV-1-05_RunHours,VAV-1-05_ZN-STPT-CL-EFF,VAV-1-05_ZN-STPT-CL-OCC,VAV-1-05_ZN-STPT-CL-UNOC,VAV-1-05_ZN-STPT-HT-EFF,VAV-1-05_ZN-STPT-HT-OCC,VAV-1-05_ZN-STPT-HT-UNOC,VAV-1-05_ZN-T,VAV-1-05_ZN-CO2,
VAV-1-06,LAB,AHU-1E,VAV-1-06_AirSourceSA-T,VAV-1-06_DA-T,VAV-1-06_DMPR-POS,VAV-1-06_FAN,VAV-1-06_FAN-STAT,VAV-1-06_FLOW,VAV-1-06_FLOW-STPT,VAV-1-06_HWV-SIG,VAV-1-06_OCC-STAT,VAV-1-06_RunHours,VAV-1-06_ZN-STPT-CL-EFF,VAV-1-06_ZN-STPT-CL-OCC,VAV-1-06_ZN-STPT-CL-UNOC,VAV-1-06_ZN-STPT-HT-EFF,VAV-1-06_ZN-STPT-HT-OCC,VAV-1-06_ZN-STPT-HT-UNOC,VAV-1-06_ZN-T,VAV-1-06_ZN-CO2,
VAV-1-07,LAB,AHU-1E,VAV-1-07_AirSourceSA-T,VAV-1-07_DA-T,VAV-1-07_DMPR-POS,VAV-1-07_FAN,VAV-1-07_FAN-STAT,VAV-1-07_FLOW,VAV-1-07_FLOW-STPT,VAV-1-07_HWV-SIG,VAV-1-07_OCC-STAT,VAV-1-07_RunHours,VAV-1-07_ZN-STPT-CL-EFF,VAV-1-07_ZN-STPT-CL-OCC,VAV-1-07_ZN-STPT-CL-UNOC,VAV-1-07_ZN-STPT-HT-EFF,VAV-1-07_ZN-STPT-HT-OCC,VAV-1-07_ZN-STPT-HT-UNOC,VAV-1-07_ZN-T,VAV-1-07_ZN-CO2,
VAV-1-08,LAB,AHU-1E,VAV-1-08_AirSourceSA-T,VAV-1-08_DA-T,VAV-1-08_DMPR-POS,VAV-1-08_FAN,VAV-1-08_FAN-STAT,VAV-1-08_FLOW,VAV-1-08_FLOW-STPT,VAV-1-08_HWV-SIG,VAV-1-08_OCC-STAT,VAV-1-08_RunHours,VAV-1-08_ZN-STPT-CL-EFF,VAV-1-08_ZN-STPT-CL-OCC,VAV-1-08_ZN-STPT-CL-UNOC,VAV-1-08_ZN-STPT-HT-EFF,VAV-1-08_ZN-STPT-HT-OCC,VAV-1-08_ZN-STPT-HT-UNOC,VAV-1-08_ZN-T,VAV-1-08_ZN-CO2,
VAV-1-09,LAB,AHU-1E,VAV-1-09_AirSourceSA-T,VAV-1-09_DA-T,VAV-1-09_DMPR-POS,VAV-1-09_FAN,VAV-1-09_FAN-STAT,VAV-1-09_FLOW,VAV-1-09_FLOW-STPT,VAV-1-09_HWV-SIG,VAV-1-09_OCC-STAT,VAV-1-09_RunHours,VAV-1-09_ZN-STPT-CL-EFF,VAV-1-09_ZN-STPT-CL-OCC,VAV-1-09_ZN-STPT-CL-UNOC,VAV-1-09_ZN-STPT-HT-EFF,VAV-1-09_ZN-STPT-HT-OCC,VAV-1-09_ZN-STPT-HT-UNOC,VAV-1-09_ZN-T,VAV-1-09_ZN-CO2,
VAV-2-01,ADMIN OFFICE,AHU-2W,VAV-2-01_AirSourceSA-T,VAV-2-01_DA-T,VAV-2-01_DMPR-POS,VAV-2-01_FAN,VAV-2-01_FAN-STAT,VAV-2-01_FLOW,VAV-2-01_FLOW-STPT,VAV-2-01_HWV-SIG,VAV-2-01_OCC-STAT,VAV-2-01_RunHours,VAV-2-01_ZN-STPT-CL-EFF,VAV-2-01_ZN-STPT-CL-OCC,VAV-2-01_ZN-STPT-CL-UNOC,VAV-2-01_ZN-STPT-HT-EFF,VAV-2-01_ZN-STPT-HT-OCC,VAV-2-01_ZN-STPT-HT-UNOC,VAV-2-01_ZN-T,VAV-2-01_ZN-CO2,
