name,floor,name-CHWV-SIG,name-ECON-SIG,name-HWV-SIG,name-OA-FLOW,name-OCC-STAT,name-RA-T,name-RF,name-RF-STAT,name-RunHours,name-SA-PR,name-SA-PR-STPT,name-SA-T,name-SA-T-STPT,name-SF,name-SF-STAT,name-PH-T,name-SF-VFD-SIG,name-EF,name-EF-STAT,name-EF-VFD-SIG
AHU-1,Rooftop,AHU-1_CHWV-SIG,AHU-1_ECON-SIG,AHU-1_HWV-SIG,AHU-1_OA-FLOW,AHU-1_OCC-STAT,AHU-1_RA-T,AHU-1_RF,AHU-1_RF-STAT,AHU-1_RunHours,AHU-1_SA-PR,AHU-1_SA-PR-STPT,AHU-1_SA-T,AHU-1_SA-T-STPT,AHU-1_SF,AHU-1_SF-STAT,AHU-1_PH-T,AHU-1_SF-VFD-SIG,AHU-1_EF,AHU-1_EF-STAT,AHU-1_EF-VFD-SIG
AHU-2,Rooftop,AHU-2_CHWV-SIG,AHU-2_ECON-SIG,AHU-2_HWV-SIG,AHU-2_OA-FLOW,AHU-2_OCC-STAT,AHU-2_RA-T,AHU-2_RF,AHU-2_RF-STAT,AHU-2_RunHours,AHU-2_SA-PR,AHU-2_SA-PR-STPT,AHU-2_SA-T,AHU-2_SA-T-STPT,AHU-2_SF,AHU-2_SF-STAT,AHU-2_PH-T,,,,
AHU-3,Rooftop,AHU-3_CHWV-SIG,AHU-3_ECON-SIG,AHU-3_HWV-SIG,AHU-3_OA-FLOW,AHU-3_OCC-STAT,AHU-3_RA-T,AHU-3_RF,AHU-3_RF-STAT,AHU-3_RunHours,AHU-3_SA-PR,AHU-3_SA-PR-STPT,AHU-3_SA-T,AHU-3_SA-T-STPT,AHU-3_SF,AHU-3_SF-STAT,,,,,
AHU-4,Rooftop,AHU-4_CHWV-SIG,AHU-4_ECON-SIG,AHU-4_HWV-SIG,AHU-4_OA-FLOW,AHU-4_OCC-STAT,AHU-4_RA-T,AHU-4_RF,AHU-4_RF-STAT,AHU-4_RunHours,AHU-4_SA-PR,AHU-4_SA-PR-STPT,AHU-4_SA-T,AHU-4_SA-T-STPT,AHU-4_SF,AHU-4_SF-STAT,,,,,
AHU-5,Rooftop,AHU-5_CHWV-SIG,AHU-5_ECON-SIG,AHU-5_HWV-SIG,AHU-5_OA-FLOW,AHU-5_OCC-STAT,AHU-5_RA-T,AHU-5_RF,AHU-5_RF-STAT,AHU-5_RunHours,AHU-5_SA-PR,AHU-5_SA-PR-STPT,AHU-5_SA-T,AHU-5_SA-T-STPT,AHU-5_SF,AHU-5_SF-STAT,,,,,
AHU-6,Rooftop,AHU-6_CHWV-SIG,AHU-6_ECON-SIG,AHU-6_HWV-SIG,AHU-6_OA-FLOW,AHU-6_OCC-STAT,AHU-6_RA-T,AHU-6_RF,AHU-6_RF-STAT,AHU-6_RunHours,AHU-6_SA-PR,AHU-6_SA-PR-STPT,AHU-6_SA-T,AHU-6_SA-T-STPT,AHU-6_SF,AHU-6_SF-STAT,,,,,
